ID,token_id,Price,date
1,1,8.61,2024-02-15
2,1,0.87,2024-02-16
3,1,9.32,2024-02-17
4,1,2.46,2024-02-18
5,1,8.97,2024-02-19
6,1,2.25,2024-02-20
7,2,8.62,2024-02-15
8,2,4.93,2024-02-16
9,2,5.27,2024-02-17
10,2,7.68,2024-02-18
11,2,6.79,2024-02-19
12,2,7.3,2024-02-20
13,3,7.69,2024-02-15
14,3,5.72,2024-02-16
15,3,1.31,2024-02-17
16,3,7.01,2024-02-18
17,3,9.13,2024-02-19
18,3,2.37,2024-02-20
19,4,1.8,2024-02-15
20,4,5.69,2024-02-16
21,4,9.26,2024-02-17
22,4,9.07,2024-02-18
23,4,6.56,2024-02-19
24,4,1.69,2024-02-20
25,5,3.89,2024-02-15
26,5,0.96,2024-02-16
27,5,6.81,2024-02-17
28,5,8.25,2024-02-18
29,5,5.83,2024-02-19
30,5,5.92,2024-02-20
31,6,1.32,2024-02-15
32,6,3.98,2024-02-16
33,6,2.89,2024-02-17
34,6,4.9,2024-02-18
35,6,3.39,2024-02-19
36,6,2.69,2024-02-20
37,7,3.45,2024-02-15
38,7,8.67,2024-02-16
39,7,8.83,2024-02-17
40,7,9.8,2024-02-18
41,7,5.81,2024-02-19
42,7,4.3,2024-02-20
43,8,5.1,2024-02-15
44,8,1.22,2024-02-16
45,8,6.48,2024-02-17
46,8,9.03,2024-02-18
47,8,9.77,2024-02-19
48,8,8.99,2024-02-20
49,9,8.98,2024-02-15
50,9,6.87,2024-02-16
51,9,7.94,2024-02-17
52,9,3.36,2024-02-18
53,9,0.48,2024-02-19
54,9,6.17,2024-02-20
55,10,7.13,2024-02-15
56,10,8.55,2024-02-16
57,10,4.2,2024-02-17
58,10,3.67,2024-02-18
59,10,5.16,2024-02-19
60,10,7.93,2024-02-20
61,11,4.0,2024-02-15
62,11,8.51,2024-02-16
63,11,2.15,2024-02-17
64,11,1.2,2024-02-18
65,11,9.03,2024-02-19
66,11,1.63,2024-02-20
67,12,5.16,2024-02-15
68,12,4.18,2024-02-16
69,12,5.54,2024-02-17
70,12,1.04,2024-02-18
71,12,4.69,2024-02-19
72,12,0.79,2024-02-20
73,13,1.0,2024-02-15
74,13,9.43,2024-02-16
75,13,5.17,2024-02-17
76,13,4.38,2024-02-18
77,13,5.29,2024-02-19
78,13,0.74,2024-02-20
79,14,3.46,2024-02-15
80,14,6.64,2024-02-16
81,14,8.89,2024-02-17
82,14,3.41,2024-02-18
83,14,0.66,2024-02-19
84,14,1.38,2024-02-20
85,15,6.62,2024-02-15
86,15,0.49,2024-02-16
87,15,9.54,2024-02-17
88,15,7.43,2024-02-18
89,15,1.32,2024-02-19
90,15,8.6,2024-02-20
91,16,1.52,2024-02-15
92,16,6.63,2024-02-16
93,16,2.15,2024-02-17
94,16,2.79,2024-02-18
95,16,3.32,2024-02-19
96,16,9.8,2024-02-20
97,17,2.66,2024-02-15
98,17,7.76,2024-02-16
99,17,4.53,2024-02-17
100,17,9.2,2024-02-18
101,17,2.13,2024-02-19
102,17,6.99,2024-02-20
103,18,8.88,2024-02-15
104,18,2.98,2024-02-16
105,18,4.79,2024-02-17
106,18,8.22,2024-02-18
107,18,2.47,2024-02-19
108,18,6.51,2024-02-20
109,19,2.39,2024-02-15
110,19,3.97,2024-02-16
111,19,8.18,2024-02-17
112,19,5.76,2024-02-18
113,19,4.18,2024-02-19
114,19,9.95,2024-02-20
115,20,6.77,2024-02-15
116,20,5.16,2024-02-16
117,20,3.89,2024-02-17
118,20,1.67,2024-02-18
119,20,6.56,2024-02-19
120,20,6.83,2024-02-20
121,21,5.86,2024-02-15
122,21,6.05,2024-02-16
123,21,5.43,2024-02-17
124,21,8.99,2024-02-18
125,21,1.05,2024-02-19
126,21,6.26,2024-02-20
127,22,3.25,2024-02-15
128,22,9.66,2024-02-16
129,22,0.94,2024-02-17
130,22,6.31,2024-02-18
131,22,3.95,2024-02-19
132,22,4.07,2024-02-20
133,23,9.06,2024-02-15
134,23,1.5,2024-02-16
135,23,2.95,2024-02-17
136,23,7.32,2024-02-18
137,23,8.76,2024-02-19
138,23,1.29,2024-02-20
139,24,6.42,2024-02-15
140,24,9.24,2024-02-16
141,24,3.29,2024-02-17
142,24,9.16,2024-02-18
143,24,0.59,2024-02-19
144,24,1.73,2024-02-20
145,25,2.92,2024-02-15
146,25,4.53,2024-02-16
147,25,5.5,2024-02-17
148,25,2.49,2024-02-18
149,25,3.84,2024-02-19
150,25,5.71,2024-02-20
151,26,1.54,2024-02-15
152,26,8.88,2024-02-16
153,26,1.72,2024-02-17
154,26,3.62,2024-02-18
155,26,2.2,2024-02-19
156,26,7.9,2024-02-20
157,27,3.12,2024-02-15
158,27,8.23,2024-02-16
159,27,5.43,2024-02-17
160,27,0.78,2024-02-18
161,27,4.01,2024-02-19
162,27,5.73,2024-02-20
163,28,6.25,2024-02-15
164,28,9.46,2024-02-16
165,28,3.45,2024-02-17
166,28,3.19,2024-02-18
167,28,6.97,2024-02-19
168,28,8.38,2024-02-20
169,29,3.9,2024-02-15
170,29,4.82,2024-02-16
171,29,0.91,2024-02-17
172,29,4.42,2024-02-18
173,29,1.98,2024-02-19
174,29,9.36,2024-02-20
175,30,2.46,2024-02-15
176,30,7.49,2024-02-16
177,30,5.21,2024-02-17
178,30,7.89,2024-02-18
179,30,0.21,2024-02-19
180,30,2.68,2024-02-20
181,31,1.64,2024-02-15
182,31,1.32,2024-02-16
183,31,2.56,2024-02-17
184,31,4.83,2024-02-18
185,31,7.89,2024-02-19
186,31,4.43,2024-02-20
187,32,9.98,2024-02-15
188,32,9.21,2024-02-16
189,32,2.66,2024-02-17
190,32,1.87,2024-02-18
191,32,3.33,2024-02-19
192,32,1.65,2024-02-20
193,33,7.34,2024-02-15
194,33,3.11,2024-02-16
195,33,8.53,2024-02-17
196,33,5.65,2024-02-18
197,33,5.93,2024-02-19
198,33,6.09,2024-02-20
199,34,6.99,2024-02-15
200,34,0.2,2024-02-16
201,34,4.42,2024-02-17
202,34,5.85,2024-02-18
203,34,2.4,2024-02-19
204,34,4.22,2024-02-20
205,35,9.53,2024-02-15
206,35,7.38,2024-02-16
207,35,9.28,2024-02-17
208,35,0.34,2024-02-18
209,35,9.96,2024-02-19
210,35,8.53,2024-02-20
211,36,7.92,2024-02-15
212,36,7.48,2024-02-16
213,36,6.32,2024-02-17
214,36,4.58,2024-02-18
215,36,0.64,2024-02-19
216,36,0.37,2024-02-20
217,37,3.04,2024-02-15
218,37,1.74,2024-02-16
219,37,0.77,2024-02-17
220,37,5.69,2024-02-18
221,37,8.45,2024-02-19
222,37,0.9,2024-02-20
223,38,3.28,2024-02-15
224,38,7.15,2024-02-16
225,38,0.56,2024-02-17
226,38,5.17,2024-02-18
227,38,7.65,2024-02-19
